
MergeSort_random,100,0.023635,649,1,3
MergeSort_sorted,100,0.007331,244,1,3
MergeSort_reversed,100,0.009057,724,1,3
MergeSort_constant,100,0.006761,244,1,3
MergeSort_partially_sorted,100,0.015265,432,1,3
MergeSort_random,1000,0.203150,9533,1,7
MergeSort_sorted,1000,0.016732,4236,1,7
MergeSort_reversed,1000,0.023626,8060,1,7
MergeSort_constant,1000,0.020503,4236,1,7
MergeSort_partially_sorted,1000,0.035662,7677,1,7
MergeSort_random,10000,1.037329,127072,1,10
MergeSort_sorted,10000,0.318539,59248,1,10
MergeSort_reversed,10000,0.376145,93648,1,10
MergeSort_constant,10000,0.321374,59248,1,10
MergeSort_partially_sorted,10000,0.527542,110087,1,10
QuickSort_random,100,0.078045,645,0,3
QuickSort_sorted,100,0.018296,659,0,3
QuickSort_reversed,100,0.009806,658,0,3
QuickSort_constant,100,0.010691,4950,0,0
QuickSort_partially_sorted,100,0.010244,643,0,3
QuickSort_random,1000,0.142613,10935,0,5
QuickSort_sorted,1000,0.097056,11056,0,5
QuickSort_reversed,1000,0.074762,11081,0,5
QuickSort_constant,1000,0.435880,499500,0,0
QuickSort_partially_sorted,1000,0.068605,10978,0,5
QuickSort_random,10000,0.887397,155667,0,7
QuickSort_sorted,10000,0.790232,154582,0,7
QuickSort_reversed,10000,0.774286,156178,0,7
QuickSort_constant,10000,39.441287,49995000,0,0
QuickSort_partially_sorted,10000,1.064603,154651,0,7
select_MoM5_random,100,0.042023,622,0,4
select_MoM5_sorted,100,0.020955,543,0,4
select_MoM5_reversed,100,0.008507,690,0,4
select_MoM5_constant,100,0.082839,15604,0,3
select_MoM5_partially_sorted,100,0.010138,573,0,4
select_MoM5_random,1000,0.099489,7441,0,6
select_MoM5_sorted,1000,0.023984,6131,0,6
select_MoM5_reversed,1000,0.027208,8133,0,6
select_MoM5_constant,1000,75.619500,27026063,0,5
select_MoM5_partially_sorted,1000,0.041095,6487,0,6
closest_divide_random,100,0.222079,128,0,6
closest_divide_random,1000,2.781418,1135,0,9
closest_divide_random,10000,12.401892,12970,0,12
MergeSort_random,30000,2.511309,451790,1,11
MergeSort_sorted,30000,0.616364,193632,1,11
MergeSort_reversed,30000,0.958692,369280,1,11
MergeSort_constant,30000,0.622822,193632,1,11
MergeSort_partially_sorted,30000,1.195458,378113,1,11
QuickSort_random,30000,2.643510,534795,0,8
QuickSort_sorted,30000,2.505107,532153,0,9
QuickSort_reversed,30000,2.503100,536697,0,8
QuickSort_constant,30000,319.624866,449985000,0,0
QuickSort_partially_sorted,30000,2.485499,536305,0,8
QuickSort_random,5000,0.942202,70327,0,7
QuickSort_sorted,5000,0.380632,70996,0,7
QuickSort_reversed,5000,0.364201,70488,0,7
QuickSort_constant,5000,8.320309,12497500,0,0
QuickSort_partially_sorted,5000,0.367028,70673,0,7
MergeSort_random,5000,0.448194,58508,1,9
MergeSort_sorted,5000,0.124433,27124,1,9
MergeSort_reversed,5000,0.143585,44324,1,9
MergeSort_constant,5000,0.142247,27124,1,9
MergeSort_partially_sorted,5000,0.208345,49984,1,9
select_MoM5_random,5000,0.295825,39252,0,8
select_MoM5_sorted,5000,0.101615,31982,0,7
select_MoM5_reversed,5000,0.119473,42172,0,8
select_MoM5_random,10000,0.508473,79955,0,8
select_MoM5_sorted,10000,0.171316,65549,0,8
select_MoM5_reversed,10000,0.229056,86490,0,8
closest_divide_random,5000,10.059575,6434,0,11
